SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022201014,2023-03-12T00:00:00,DEN vs. BKN,L,22.751666666666665,9,12,0.75,3,5,0.6,2,2,1.0,3,0,3,4,2,1,0,0,2,1,23,6,33.6,0,0,35.0,1,42,42,42,56,7,39,1,25,52,8,15,21,1,2,61,50,1,7,7,24,1,26,25,10,35,20,4,1,18,1
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022201002,2023-03-10T00:00:00,DEN @ SAS,L,20.29,3,5,0.6,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,0,1,0,7,-5,9.7,0,0,10.0,1,42,42,42,60,56,62,11,50,60,39,42,43,42,38,58,60,21,41,31,24,1,5,49,57,49,60,4,1,61,1
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022200989,2023-03-08T00:00:00,DEN vs. CHI,L,23.966666666666665,5,13,0.385,2,7,0.286,0,0,0.0,0,5,5,0,1,0,1,0,1,0,12,-2,20.0,0,0,21.0,1,42,42,42,54,43,31,50,41,28,44,42,43,42,38,15,32,41,21,31,5,1,5,49,47,45,51,4,1,49,1
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022200975,2023-03-06T00:00:00,DEN vs. TOR,W,32.016666666666666,7,11,0.636,4,6,0.667,2,4,0.5,0,5,5,0,2,1,0,1,1,2,20,7,27.0,0,0,31.0,1,1,1,1,16,19,45,7,14,38,2,15,6,33,38,15,32,41,7,7,24,40,5,9,21,32,34,4,1,26,1
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022200952,2023-03-03T00:00:00,DEN vs. MEM,W,30.016666666666666,8,14,0.571,2,7,0.286,8,8,1.0,3,5,8,1,0,1,0,0,2,6,26,10,40.1,0,0,39.0,1,1,1,1,29,12,22,16,41,28,44,1,1,1,2,15,7,21,41,7,24,1,26,1,7,29,6,4,1,10,1
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022200926,2023-02-28T00:00:00,DEN @ HOU,W,23.0,7,11,0.636,3,6,0.5,0,0,0.0,1,3,4,2,3,1,1,1,1,0,17,22,27.8,0,0,30.0,1,1,1,1,55,19,45,7,25,38,15,42,43,42,19,44,42,5,3,7,5,40,5,49,31,5,29,4,1,29,1
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022200918,2023-02-26T00:00:00,DEN vs. LAC,W,39.1,12,18,0.667,4,8,0.5,1,1,1.0,0,11,11,0,0,0,0,0,3,2,29,17,42.2,1,0,44.0,1,1,1,1,1,1,3,5,14,18,15,29,36,1,38,1,2,41,41,31,24,1,49,9,4,14,2,1,1,3,1
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022200907,2023-02-25T00:00:00,DEN @ MEM,L,18.966666666666665,2,10,0.2,1,7,0.143,0,0,0.0,1,2,3,1,1,0,0,0,2,1,5,-9,9.1,0,0,10.0,1,42,42,42,62,60,51,59,50,28,58,42,43,42,19,53,50,21,21,31,24,1,26,25,60,56,62,4,1,61,1
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022200886,2023-02-23T00:00:00,DEN @ CLE,W,28.783333333333335,8,14,0.571,6,10,0.6,3,3,1.0,2,4,6,0,1,0,1,0,0,3,25,13,34.2,0,0,39.0,1,1,1,1,33,12,22,16,1,4,8,7,12,1,9,34,18,41,21,31,5,1,1,4,8,20,15,4,1,10,1
2022-23,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,0022200881,2023-02-15T00:00:00,DEN vs. DAL,W,32.81666666666667,8,16,0.5,5,10,0.5,1,2,0.5,1,4,5,1,1,0,2,2,2,1,22,12,34.5,0,0,37.0,1,1,1,1,12,12,7,27,5,4,15,29,21,33,19,34,32,21,21,31,3,57,26,25,15,25,14,4,1,15,1
