SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200918,2023-02-26T00:00:00,DEN vs. LAC,W,16.816666666666666,2,3,0.667,1,2,0.5,1,2,0.5,0,0,0,1,1,0,0,0,0,1,6,-6,6.5,0,0,8.0,1,1,1,1,28,20,29,11,12,22,14,15,4,18,20,42,43,26,7,18,12,1,1,14,21,45,36,2,1,32,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200907,2023-02-25T00:00:00,DEN @ MEM,L,18.966666666666665,1,5,0.2,0,3,0.0,0,0,0.0,0,2,2,1,1,0,1,0,1,0,2,-9,7.9,0,0,7.0,1,39,39,39,23,25,14,37,28,10,28,19,19,19,20,18,25,26,7,18,3,1,21,27,33,53,32,2,1,34,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200886,2023-02-23T00:00:00,DEN @ CLE,W,26.2,3,6,0.5,1,2,0.5,3,3,1.0,2,1,3,1,0,0,0,0,2,2,10,9,15.1,0,0,15.0,1,1,1,1,8,12,10,19,12,22,14,2,3,1,2,29,16,26,28,18,12,1,35,4,12,6,19,2,1,18,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200881,2023-02-15T00:00:00,DEN vs. DAL,W,25.233333333333334,5,11,0.455,0,4,0.0,2,2,1.0,1,2,3,2,0,0,0,0,1,1,12,7,18.6,0,0,17.0,1,1,1,1,10,4,3,24,28,4,28,4,4,1,4,18,16,14,28,18,12,1,21,14,7,10,11,2,1,14,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200861,2023-02-13T00:00:00,DEN @ MIA,W,28.016666666666666,4,6,0.667,0,2,0.0,2,2,1.0,1,4,5,6,3,1,1,0,1,4,10,-1,28.0,0,0,25.0,1,1,1,1,5,10,10,11,28,22,28,4,4,1,4,5,4,1,1,6,3,1,21,2,12,26,4,2,1,4,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200847,2023-02-11T00:00:00,DEN @ CHA,W,23.633333333333333,5,9,0.556,1,3,0.333,1,1,1.0,1,4,5,2,0,0,0,0,2,1,12,12,21.0,0,0,20.0,1,1,1,1,12,4,5,18,12,10,23,15,16,1,4,5,4,14,28,18,12,1,35,14,7,3,9,2,1,10,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200831,2023-02-09T00:00:00,DEN @ ORL,L,11.878333333333334,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,1,1,0,1,1,0,1,3,-16,7.7,0,0,8.0,1,39,39,39,38,25,29,30,12,22,14,19,19,19,20,29,31,26,7,18,3,52,1,14,28,59,33,2,1,32,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200820,2023-02-07T00:00:00,DEN vs. MIN,W,22.066666666666666,5,8,0.625,2,5,0.4,0,0,0.0,0,6,6,3,0,0,1,0,2,0,12,2,26.7,0,0,25.0,1,1,1,1,15,4,7,14,6,2,21,19,19,19,20,2,3,3,28,18,3,1,35,27,7,14,5,2,1,4,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200806,2023-02-05T00:00:00,DEN @ MIN,L,29.433333333333334,2,5,0.4,0,1,0.0,2,2,1.0,0,5,5,3,0,0,0,0,1,2,6,-9,16.5,0,0,14.0,1,39,39,39,4,20,14,27,28,32,28,4,4,1,20,3,4,3,28,18,12,1,21,4,21,53,16,2,1,19,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200801,2023-02-04T00:00:00,DEN vs. ATL,W,22.333333333333332,1,5,0.2,1,3,0.333,2,2,1.0,0,1,1,3,1,1,0,1,2,1,5,3,12.7,0,0,12.0,1,1,1,1,14,25,14,37,12,10,23,4,4,1,20,29,31,3,7,6,12,52,35,14,24,13,25,2,1,23,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022200783,2023-02-02T00:00:00,DEN vs. GSW,W,32.31666666666667,7,10,0.7,3,4,0.75,0,0,0.0,1,2,3,3,0,2,0,0,3,0,17,23,31.1,0,0,30.0,1,1,1,1,2,1,4,10,1,4,9,19,19,19,4,18,16,3,28,1,12,1,48,27,2,1,3,2,1,3,1
