SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022201055,2023-03-18T00:00:00,DEN @ NYK,L,13.883333333333333,2,7,0.286,1,4,0.25,0,0,0.0,0,3,3,0,1,1,1,1,3,0,5,-13,13.6,0,0,13.0,1,50,50,50,43,27,11,48,9,3,25,27,29,27,34,14,23,36,5,13,2,56,62,34,29,71,28,1,1,25,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022201042,2023-03-16T00:00:00,DEN @ DET,W,20.355,3,6,0.5,1,2,0.5,2,2,1.0,0,3,3,0,0,2,1,0,3,1,9,9,21.6,0,0,19.0,1,1,1,1,26,18,14,30,9,11,13,3,8,1,34,14,23,36,32,4,2,1,62,11,15,7,10,1,1,11,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022201029,2023-03-14T00:00:00,DEN @ TOR,L,16.7,2,2,1.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,0,1,0,4,-12,10.6,0,0,9.0,1,50,50,50,32,27,45,1,26,52,26,27,29,27,34,14,23,36,32,26,2,1,24,34,34,68,33,1,1,34,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022201014,2023-03-12T00:00:00,DEN vs. BKN,L,11.648333333333333,2,2,1.0,1,1,1.0,2,3,0.667,0,3,3,1,1,0,1,0,0,2,7,9,14.1,0,0,14.0,1,50,50,50,52,27,45,1,9,29,1,3,5,12,34,14,23,17,5,26,2,1,1,2,24,7,24,1,1,22,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022201002,2023-03-10T00:00:00,DEN @ SAS,L,7.043333333333333,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,3,0,4.2,0,0,5.0,1,50,50,50,59,41,45,30,9,29,1,27,29,27,34,41,46,36,32,26,17,1,24,34,42,30,52,1,1,48,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200989,2023-03-08T00:00:00,DEN vs. CHI,L,3.716666666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0,0,1.0,1,50,50,50,64,52,55,52,26,52,26,27,29,27,34,54,58,17,32,26,17,1,1,34,55,30,62,1,1,62,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200952,2023-03-03T00:00:00,DEN vs. MEM,W,1.7666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1.5,0,0,1.0,1,1,1,1,73,52,64,52,26,52,26,27,29,27,34,54,58,17,32,26,17,1,1,34,55,28,62,1,1,62,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200926,2023-02-28T00:00:00,DEN @ HOU,W,5.116666666666666,1,1,1.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,0,1,4,-2,5.2,0,0,5.0,1,1,1,1,63,41,55,1,26,52,26,3,8,1,34,41,46,36,32,26,17,1,1,11,34,40,50,1,1,48,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200918,2023-02-26T00:00:00,DEN vs. LAC,W,0.37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,1,1,76,52,64,52,26,52,26,27,29,27,34,54,58,36,32,26,17,1,1,34,55,30,70,1,1,70,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200907,2023-02-25T00:00:00,DEN @ MEM,L,21.316666666666666,4,6,0.667,2,2,1.0,1,2,0.5,1,3,4,2,1,0,0,1,0,1,11,2,17.8,0,0,19.0,1,50,50,50,23,7,14,15,2,11,1,12,8,14,15,14,16,7,5,26,17,56,1,11,5,23,19,1,1,11,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200886,2023-02-23T00:00:00,DEN @ CLE,W,7.766666666666667,0,0,0.0,0,0,0.0,1,2,0.5,1,1,2,0,1,0,0,0,2,1,1,-8,2.4,0,0,3.0,1,1,1,1,57,52,64,52,26,52,26,12,8,14,15,41,35,36,5,26,17,1,47,11,54,63,60,1,1,56,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200881,2023-02-15T00:00:00,DEN vs. DAL,W,26.816666666666666,2,3,0.667,1,2,0.5,1,2,0.5,1,2,3,4,1,0,0,0,2,1,6,4,14.6,0,0,14.0,1,1,1,1,7,27,38,15,9,11,13,12,8,14,15,23,23,1,5,26,17,1,47,11,26,14,22,1,1,22,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200861,2023-02-13T00:00:00,DEN @ MIA,W,26.406666666666666,4,6,0.667,1,2,0.5,1,2,0.5,2,2,4,4,0,1,0,0,3,1,10,4,23.8,0,0,21.0,1,1,1,1,9,7,14,15,9,11,13,12,8,14,2,23,16,1,32,13,17,1,62,11,9,14,7,1,1,8,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200847,2023-02-11T00:00:00,DEN @ CHA,W,26.55,5,8,0.625,0,1,0.0,1,2,0.5,2,5,7,0,1,4,0,0,2,1,11,-1,30.4,0,0,26.0,1,1,1,1,8,3,8,22,26,29,26,12,8,14,2,2,1,36,5,1,17,1,47,11,5,36,2,1,1,4,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200831,2023-02-09T00:00:00,DEN @ ORL,L,19.133333333333333,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,3,0,0,-22,3.0,0,0,2.0,1,50,50,50,29,52,45,52,26,52,26,27,29,27,34,54,58,36,32,13,17,56,62,34,55,76,57,1,1,58,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200820,2023-02-07T00:00:00,DEN vs. MIN,W,18.421666666666667,4,5,0.8,0,1,0.0,0,0,0.0,0,3,3,2,0,2,0,0,2,0,8,13,20.6,0,0,17.0,1,1,1,1,31,7,23,9,26,29,26,27,29,27,34,14,23,7,32,4,17,1,47,34,20,4,14,1,1,16,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200806,2023-02-05T00:00:00,DEN @ MIN,L,33.86666666666667,7,10,0.7,2,2,1.0,3,4,0.75,0,5,5,1,2,0,1,0,1,2,19,-13,27.5,0,0,29.0,1,50,50,50,1,1,4,14,2,11,1,2,2,11,34,2,7,17,1,26,2,1,24,2,1,71,5,1,1,1,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200801,2023-02-04T00:00:00,DEN vs. ATL,W,32.141666666666666,4,11,0.364,2,4,0.5,0,0,0.0,2,5,7,2,1,2,0,3,4,1,10,20,26.4,0,0,25.0,1,1,1,1,4,7,1,44,2,3,13,27,29,27,2,2,1,7,5,4,17,76,75,11,9,1,6,1,1,5,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200783,2023-02-02T00:00:00,DEN vs. GSW,W,18.933333333333334,2,4,0.5,1,3,0.333,0,0,0.0,1,4,5,3,0,2,0,0,1,0,5,0,21.5,0,0,18.0,1,1,1,1,30,27,32,30,9,6,23,27,29,27,15,5,7,3,32,4,17,1,24,34,29,30,11,1,1,14,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200768,2023-01-31T00:00:00,DEN vs. NOP,W,14.24,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,0,1,0,0,0,3,0,4,-5,9.0,0,0,9.0,1,1,1,1,42,27,38,15,26,52,26,27,29,27,15,5,7,36,5,26,17,1,62,34,34,49,36,1,1,34,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200723,2023-01-25T00:00:00,DEN @ MIL,L,25.783333333333335,3,6,0.5,2,2,1.0,0,0,0.0,1,1,2,1,1,1,0,1,3,0,8,-3,13.9,0,0,15.0,1,50,50,50,11,18,14,30,2,11,1,27,29,27,15,41,35,17,5,13,17,56,62,34,20,43,27,1,1,21,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200716,2023-01-24T00:00:00,DEN @ NOP,W,20.1,3,5,0.6,0,2,0.0,1,1,1.0,1,1,2,1,0,0,0,0,1,1,7,4,10.9,0,0,10.0,1,1,1,1,27,18,23,24,26,11,26,12,25,1,15,41,35,17,32,26,17,1,24,11,24,14,32,1,1,33,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200702,2023-01-22T00:00:00,DEN vs. OKC,L,21.933333333333334,4,7,0.571,1,2,0.5,1,1,1.0,2,4,6,3,0,0,2,0,1,1,10,-2,27.7,0,0,24.0,1,50,50,50,22,7,11,26,9,11,13,12,25,1,2,5,3,3,32,26,1,1,24,11,9,40,4,1,1,6,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200688,2023-01-20T00:00:00,DEN vs. IND,W,15.2,4,5,0.8,1,1,1.0,1,2,0.5,1,1,2,2,0,0,1,0,2,1,10,11,18.4,0,0,17.0,1,1,1,1,39,7,23,9,9,29,1,12,8,14,15,41,35,7,32,26,2,1,47,11,9,5,17,1,1,16,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200676,2023-01-18T00:00:00,DEN vs. MIN,W,6.213333333333333,0,2,0.0,0,1,0.0,0,0,0.0,1,2,3,0,1,2,0,0,0,0,0,-3,8.6,0,0,7.0,1,1,1,1,61,52,45,52,26,29,26,27,29,27,15,23,23,36,5,4,17,1,1,34,55,43,38,1,1,39,1
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,0022200667,2023-01-17T00:00:00,DEN vs. POR,W,2.033333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-7,0.0,0,0,0.0,1,1,1,1,71,52,64,52,26,52,26,27,29,27,34,54,58,36,32,26,17,1,1,34,55,57,70,1,1,70,1
