SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022201029,2023-03-14T00:00:00,DEN @ TOR,L,34.36666666666667,8,13,0.615,0,1,0.0,2,6,0.333,0,1,1,3,0,2,1,2,2,3,18,-10,32.7,0,0,28.0,1,46,46,46,13,14,17,29,39,51,39,36,17,57,56,60,64,24,52,4,11,55,31,33,21,61,27,12,1,33,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022201014,2023-03-12T00:00:00,DEN vs. BKN,L,29.4,5,9,0.556,1,2,0.5,2,3,0.667,2,2,4,2,2,0,0,1,2,3,13,13,18.8,0,0,20.0,1,46,46,46,41,41,41,41,17,34,14,36,43,22,27,55,54,36,15,34,38,25,31,33,40,24,62,12,1,58,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022201002,2023-03-10T00:00:00,DEN @ SAS,L,33.583333333333336,5,8,0.625,2,5,0.4,2,2,1.0,0,6,6,3,3,1,1,0,3,4,14,0,28.7,0,0,29.0,1,46,46,46,14,41,50,26,6,3,27,36,49,1,56,9,31,24,4,17,11,1,44,20,37,48,37,12,1,29,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200989,2023-03-08T00:00:00,DEN vs. CHI,L,28.8,6,14,0.429,1,3,0.333,4,9,0.444,6,3,9,2,0,0,1,1,0,7,17,-4,33.8,0,0,31.0,1,46,46,46,46,28,14,57,17,17,28,15,5,53,4,42,13,36,52,34,11,25,1,2,26,56,25,12,1,25,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200975,2023-03-06T00:00:00,DEN vs. TOR,W,29.733333333333334,7,12,0.583,0,2,0.0,5,6,0.833,5,1,6,5,0,2,1,1,1,3,19,13,42.7,0,0,36.0,1,1,1,1,39,19,24,35,39,34,39,6,17,11,6,60,31,12,52,4,11,25,14,33,18,24,10,12,1,17,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200952,2023-03-03T00:00:00,DEN vs. MEM,W,28.19,5,10,0.5,0,2,0.0,3,3,1.0,4,1,5,0,0,0,0,0,3,4,13,9,19.0,0,0,18.0,1,1,1,1,53,41,34,46,39,34,39,26,43,1,12,60,43,62,52,34,38,1,44,20,40,33,61,12,1,60,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200926,2023-02-28T00:00:00,DEN @ HOU,W,21.066666666666666,5,7,0.714,0,0,0.0,1,2,0.5,2,5,7,5,0,0,0,1,1,3,11,19,26.9,0,0,23.0,1,1,1,1,67,41,59,10,39,65,39,52,49,38,27,18,22,12,52,34,38,25,14,33,53,13,45,12,1,48,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200918,2023-02-26T00:00:00,DEN vs. LAC,W,28.95,3,9,0.333,0,5,0.0,0,0,0.0,0,6,6,6,2,0,0,0,6,1,6,5,20.2,0,0,18.0,1,1,1,1,44,62,41,62,39,3,39,60,63,60,56,9,31,6,15,34,38,1,68,58,65,40,59,12,1,60,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200831,2023-02-09T00:00:00,DEN @ ORL,L,37.85,15,21,0.714,3,6,0.5,4,7,0.571,3,10,13,3,2,1,1,1,1,4,37,5,61.1,1,0,60.0,1,46,46,46,4,1,3,10,2,1,14,15,11,34,19,2,4,24,15,17,11,25,14,20,1,40,1,1,1,1,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200820,2023-02-07T00:00:00,DEN vs. MIN,W,25.933333333333334,8,11,0.727,2,3,0.667,6,8,0.75,0,3,3,8,3,4,2,1,1,4,24,32,54.6,0,0,49.0,1,1,1,1,58,14,31,9,6,17,8,3,9,15,56,42,59,1,4,1,3,25,14,20,12,1,2,12,1,4,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200801,2023-02-04T00:00:00,DEN vs. ATL,W,29.766666666666666,7,10,0.7,0,1,0.0,1,1,1.0,2,4,6,4,0,0,1,0,1,1,15,19,31.2,0,0,27.0,1,1,1,1,38,19,34,13,39,51,39,52,61,1,27,26,31,18,52,34,11,1,14,58,31,13,30,12,1,40,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200768,2023-01-31T00:00:00,DEN vs. NOP,W,35.945,6,12,0.5,1,3,0.333,2,5,0.4,2,4,6,6,0,0,0,0,3,6,15,22,31.2,0,0,28.0,1,1,1,1,10,28,24,46,17,17,28,36,27,54,27,26,31,6,52,34,38,1,44,7,31,6,30,12,1,33,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200741,2023-01-28T00:00:00,DEN @ PHI,L,29.383333333333333,8,10,0.8,0,1,0.0,2,4,0.5,1,4,5,3,0,0,0,1,1,3,18,5,28.5,0,0,26.0,1,46,46,46,42,14,34,2,39,51,39,36,34,38,42,26,43,24,52,34,38,25,14,33,21,40,38,12,1,42,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200723,2023-01-25T00:00:00,DEN @ MIL,L,37.18333333333333,10,24,0.417,3,5,0.6,3,4,0.75,7,7,14,4,1,0,2,4,3,4,26,5,53.8,1,0,51.0,1,46,46,46,6,6,1,59,2,3,13,26,34,15,2,5,3,18,30,34,3,67,44,20,8,40,3,1,1,2,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200716,2023-01-24T00:00:00,DEN @ NOP,W,23.65,4,7,0.571,1,1,1.0,2,4,0.5,0,4,4,3,3,0,1,2,4,2,11,0,20.3,0,0,21.0,1,1,1,1,62,49,59,38,17,51,1,36,34,38,56,26,54,24,4,34,11,55,60,48,53,48,58,12,1,54,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200702,2023-01-22T00:00:00,DEN vs. OKC,L,38.083333333333336,4,15,0.267,1,3,0.333,6,13,0.462,4,6,10,1,2,2,1,3,1,8,15,-2,35.5,1,0,33.0,1,46,46,46,3,49,12,65,17,17,28,3,1,51,12,9,6,50,15,4,11,64,14,1,31,54,23,1,1,22,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200688,2023-01-20T00:00:00,DEN vs. IND,W,30.4,11,15,0.733,1,2,0.5,5,9,0.556,2,3,5,6,3,0,0,0,4,6,28,26,40.0,0,0,40.0,1,1,1,1,34,4,12,8,17,34,14,6,5,36,27,42,43,6,4,34,38,1,60,7,4,3,19,12,1,11,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200676,2023-01-18T00:00:00,DEN vs. MIN,W,29.066666666666666,5,9,0.556,1,4,0.25,1,2,0.5,2,1,3,1,2,0,1,0,4,2,12,10,18.1,0,0,19.0,1,1,1,1,43,41,41,41,17,9,35,52,49,38,27,60,59,50,15,34,11,1,60,48,47,30,64,12,1,59,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200667,2023-01-17T00:00:00,DEN vs. POR,W,31.55,3,8,0.375,0,1,0.0,5,5,1.0,2,5,7,8,2,1,1,1,0,7,11,20,35.4,0,0,30.0,1,1,1,1,23,62,50,61,39,51,39,6,27,1,27,18,22,1,15,17,11,25,1,2,53,11,24,12,1,27,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200653,2023-01-15T00:00:00,DEN vs. ORL,W,32.4,9,13,0.692,2,3,0.667,5,11,0.455,3,5,8,5,1,0,0,0,2,7,25,11,41.1,0,0,40.0,1,1,1,1,20,12,17,16,6,17,8,6,2,52,19,18,16,12,30,34,38,1,31,2,11,29,15,12,1,11,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200639,2023-01-13T00:00:00,DEN @ LAC,W,31.733333333333334,6,8,0.75,2,3,0.667,3,5,0.6,0,5,5,5,3,0,0,0,2,3,17,16,27.5,0,0,29.0,1,1,1,1,22,28,50,5,6,17,8,26,27,31,56,18,43,12,4,34,38,1,31,33,26,20,42,12,1,29,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200624,2023-01-11T00:00:00,DEN vs. PHX,W,23.866666666666667,4,4,1.0,0,0,0.0,4,6,0.667,0,0,0,2,0,1,1,0,2,3,12,18,21.0,0,0,18.0,1,1,1,1,61,49,66,1,39,65,39,15,17,22,56,68,68,36,52,17,11,1,31,33,47,17,56,12,1,60,1
2022-23,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,0022200609,2023-01-09T00:00:00,DEN vs. LAL,W,22.066666666666666,4,8,0.5,1,5,0.2,0,1,0.0,1,9,10,0,4,0,4,0,2,1,9,6,29.0,0,0,28.0,1,1,1,1,64,49,50,46,17,3,37,60,61,60,42,3,6,62,2,34,1,1,31,58,61,38,36,12,1,33,1
