SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022200962,2023-03-05T00:00:00,DAL vs. PHX,L,13.383333333333333,2,2,1.0,1,1,1.0,0,0,0.0,0,2,2,1,0,2,0,0,2,0,5,-3,14.9,0,0,13.0,1,19,19,19,29,11,30,1,12,31,1,3,5,3,6,6,7,12,18,1,15,1,27,17,14,26,10,1,1,11,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022200943,2023-03-02T00:00:00,DAL vs. PHI,W,11.416666666666666,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,3,1,0,-16,1.2,0,0,1.0,1,1,1,1,33,32,30,32,27,27,27,3,5,3,6,15,17,27,18,13,15,1,40,2,33,43,43,1,1,42,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022200929,2023-02-28T00:00:00,DAL vs. IND,L,14.803333333333333,0,3,0.0,0,2,0.0,0,2,0.0,1,2,3,1,2,2,0,0,0,1,0,1,9.1,0,0,8.0,1,19,19,19,26,32,26,32,27,27,27,3,2,3,1,6,3,12,2,1,15,1,1,2,33,15,18,1,1,21,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022200913,2023-02-26T00:00:00,DAL vs. LAL,L,28.39666666666667,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0,2,0,0,3,0,3,0,6,-5,18.0,0,0,16.0,1,19,19,19,2,11,17,17,6,10,12,3,5,3,6,30,30,5,18,13,1,1,40,17,11,28,4,1,1,8,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022200891,2023-02-23T00:00:00,DAL vs. SAS,W,21.333333333333332,5,7,0.714,5,6,0.833,0,0,0.0,0,2,2,0,0,2,0,0,2,0,15,20,23.4,0,0,26.0,1,1,1,1,12,2,10,7,1,3,3,3,5,3,6,6,7,27,18,1,15,1,27,17,2,1,3,1,1,3,1
2022-23,203200,Justin Holiday,Justin,1610612737,ATL,Atlanta Hawks,0022200777,2023-02-01T00:00:00,ATL @ PHX,W,5.683333333333334,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,1,0,5,-9,6.5,0,0,7.0,1,1,1,1,40,11,26,8,12,27,7,3,5,3,6,30,30,12,18,13,15,1,11,17,14,34,28,1,1,23,1
2022-23,203200,Justin Holiday,Justin,1610612737,ATL,Atlanta Hawks,0022200558,2023-01-02T00:00:00,ATL @ GSW,L,4.851666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,1,0,0,-10,2.7,0,0,2.0,1,19,19,19,41,32,36,32,27,31,27,3,5,3,6,15,17,12,18,13,15,1,11,17,33,35,40,1,1,38,1
2022-23,203200,Justin Holiday,Justin,1610612737,ATL,Atlanta Hawks,0022200517,2022-12-28T00:00:00,ATL vs. BKN,L,8.35,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,0,0,0,0,14,6.0,0,0,4.0,1,19,19,19,36,32,36,32,27,31,27,3,5,3,6,30,30,5,18,13,4,1,1,17,33,3,29,1,1,34,1
2022-23,203200,Justin Holiday,Justin,1610612737,ATL,Atlanta Hawks,0022200508,2022-12-27T00:00:00,ATL @ IND,L,6.85,1,5,0.2,1,3,0.333,0,0,0.0,1,1,2,1,0,0,0,0,0,0,3,-8,6.9,0,0,7.0,1,19,19,19,38,22,17,29,12,19,13,3,5,3,1,15,7,12,18,13,15,1,1,17,23,32,27,1,1,23,1
2022-23,203200,Justin Holiday,Justin,1610612737,ATL,Atlanta Hawks,0022200481,2022-12-23T00:00:00,ATL vs. DET,W,3.3666666666666667,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,3,1,4.2,0,0,5.0,1,1,1,1,44,22,36,1,12,31,1,3,5,3,6,15,17,27,18,13,15,1,1,17,23,15,33,1,1,33,1
